name,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,age
Robert Drysdale,7,0,0,190.5,92.99,182.88,Orthodox,0.0,0.0,0.0,0.0,7.32,100.0,0.0,21.9,44.0
Daniel McWilliams,15,37,0,185.42,83.91,182.88,Unknown,3.36,77.0,0.0,0.0,0.0,0.0,100.0,21.6,42.0
Dan Molina,13,9,0,177.8,97.98,182.88,Unknown,0.0,0.0,5.58,60.0,0.0,0.0,0.0,20.9,44.0
Paul Ruiz,7,4,0,167.64,61.23,182.88,Unknown,1.4,33.0,1.4,75.0,0.0,0.0,100.0,20.9,36.0
Collin Huckbody,8,2,0,190.5,83.91,193.04,Orthodox,2.05,60.0,2.73,42.0,10.23,100.0,0.0,20.4,31.0
Gerald Strebendt,9,7,0,175.26,70.31,182.88,Orthodox,0.0,0.0,4.0,38.0,0.0,0.0,0.0,16.4,46.0
Isaiah Hill,5,7,1,177.8,70.31,182.88,Unknown,4.84,50.0,0.97,80.0,0.0,0.0,66.0,14.5,39.0
Kenneth Seegrist,4,7,0,182.88,83.91,182.88,Orthodox,3.21,66.0,1.28,0.0,0.0,0.0,40.0,14.4,42.0
Will Kerr,9,3,0,177.8,70.31,175.26,Orthodox,1.91,42.0,6.22,33.0,0.0,0.0,0.0,14.3,43.0
Neil Grove,12,8,1,198.12,120.2,182.88,Orthodox,0.0,0.0,0.0,0.0,0.0,0.0,100.0,14.3,54.0
Raphael Butler,9,2,1,190.5,118.39,182.88,Unknown,4.69,45.0,0.94,91.0,0.0,0.0,100.0,14.1,45.0
Bo Nickal,5,0,0,185.42,83.91,193.04,Southpaw,2.76,62.0,0.55,75.0,11.04,50.0,0.0,13.8,29.0
Ian Entwistle,9,3,0,165.1,61.23,182.88,Orthodox,0.11,7.0,7.36,31.0,0.0,0.0,0.0,12.1,39.0
Megumi Fujii,26,3,0,160.02,51.26,182.88,Unknown,2.4,42.0,0.0,100.0,0.0,0.0,0.0,12.0,34.0
Gaston Reyno,6,2,0,182.88,65.77,182.88,Unknown,7.79,62.0,3.9,44.0,0.0,0.0,0.0,11.7,36.0
Kenny Ento,14,15,0,187.96,87.09,182.88,Unknown,8.41,79.0,0.0,100.0,5.49,100.0,0.0,11.0,42.0
AJ McKee,8,0,0,177.8,65.77,182.88,Unknown,2.75,32.0,0.92,80.0,11.01,100.0,100.0,11.0,36.0
Westin Wilson,16,8,0,185.42,65.77,185.42,Southpaw,1.38,50.0,7.59,26.0,0.0,0.0,0.0,10.3,36.0
Philip Perez,7,5,1,165.1,70.31,182.88,Southpaw,1.36,100.0,0.68,66.0,10.23,100.0,0.0,10.2,39.0
Brandon Shuey,7,6,0,170.18,70.31,182.88,Orthodox,0.68,33.0,1.36,0.0,0.0,0.0,0.0,10.2,49.0
Dave Phillips,13,7,0,182.88,83.91,182.88,Orthodox,0.0,0.0,2.0,25.0,0.0,0.0,0.0,10.0,45.0
Johnny Sampaio,3,1,0,172.72,77.11,182.88,Orthodox,1.32,40.0,2.64,50.0,9.89,50.0,0.0,9.9,50.0
Dione Barbosa,6,2,0,167.64,56.7,167.64,Orthodox,0.87,50.0,0.65,66.0,3.27,100.0,0.0,9.8,33.0
Zach Reese,6,1,0,193.04,83.91,195.58,Switch,3.93,66.0,6.56,28.0,0.0,0.0,0.0,9.8,31.0
Rodrigo Gripp de Sousa,7,9,0,180.34,92.99,182.88,Orthodox,0.48,23.0,4.81,52.0,0.0,0.0,0.0,9.6,44.0
Justin Burlinson,6,1,0,185.42,77.11,187.96,Switch,1.24,40.0,3.09,61.0,0.0,0.0,100.0,9.3,28.0
Poppies Martinez,29,11,0,175.26,65.77,182.88,Unknown,2.88,50.0,2.16,51.0,1.54,33.0,50.0,9.2,36.0
Josh Rafferty,9,8,0,182.88,77.11,182.88,Orthodox,0.6,33.0,3.6,50.0,0.0,0.0,0.0,9.0,44.0
Daniel Puder,8,0,0,190.5,106.59,182.88,Orthodox,2.77,68.0,1.17,38.0,1.21,50.0,81.0,9.0,44.0
Yukio Sakaguchi,6,7,0,175.26,83.91,182.88,Orthodox,0.3,25.0,2.4,50.0,4.5,100.0,0.0,9.0,52.0
Magomed Sultanakhmedov,18,6,0,187.96,83.91,182.88,Southpaw,0.0,0.0,2.4,42.0,9.0,100.0,0.0,9.0,42.0
Jeff Newton,4,2,0,187.96,92.99,182.88,Sideways,0.28,20.0,1.41,52.0,0.0,0.0,0.0,8.5,59.0
Emiliano Sordi,16,7,0,187.96,92.99,182.88,Orthodox,4.79,50.0,4.79,48.0,0.0,0.0,100.0,8.3,34.0
Erik Apple,10,3,0,182.88,77.11,182.88,Orthodox,0.0,0.0,0.54,81.0,0.0,0.0,0.0,8.1,48.0
Fazlo Mulabitinovic,4,2,0,177.8,61.23,182.88,Unknown,0.54,16.0,0.0,100.0,0.0,0.0,0.0,8.0,36.0
J.T Taylor,7,7,0,177.8,77.11,182.88,Unknown,3.17,80.0,3.7,26.0,3.96,100.0,0.0,7.9,39.0
Adam Meredith,5,3,0,187.96,77.11,182.88,Unknown,2.63,50.0,2.11,55.0,7.89,100.0,100.0,7.9,39.0
Klayton Mai,8,3,0,175.26,56.7,182.88,Unknown,1.53,42.0,1.02,63.0,3.83,100.0,0.0,7.7,34.0
Ron Keslar,11,9,0,177.8,83.91,182.88,Unknown,0.0,0.0,2.05,60.0,0.0,0.0,100.0,7.7,42.0
Bobby McAndrews,1,3,0,177.8,77.11,182.88,Orthodox,2.56,83.0,1.03,50.0,0.0,0.0,33.0,7.7,39.0
Ansar Chalangov,14,5,0,175.26,77.11,182.88,Orthodox,0.68,66.0,1.69,54.0,0.0,0.0,0.0,7.6,46.0
Jeremiah Constant,11,8,0,185.42,108.86,182.88,Orthodox,1.5,75.0,3.25,43.0,0.0,0.0,0.0,7.5,51.0
Paul Sass,14,2,0,182.88,70.31,185.42,Orthodox,0.53,26.0,1.9,51.0,0.53,16.0,33.0,7.4,37.0
Eddy Millis,0,2,0,185.42,83.91,182.88,Unknown,0.0,0.0,3.36,22.0,0.0,0.0,0.0,7.2,42.0
James Lee,15,3,0,180.34,92.99,182.88,Southpaw,1.4,42.0,3.72,27.0,13.95,50.0,0.0,7.0,52.0
Mikhail Iloukhine,30,11,1,175.26,92.99,182.88,Orthodox,0.16,20.0,2.95,26.0,0.0,0.0,0.0,7.0,59.0
Kyle Jensen,4,11,2,175.26,77.11,182.88,Orthodox,0.0,0.0,0.92,60.0,6.92,100.0,0.0,6.9,46.0
Ilya Kotau,1,2,0,177.8,77.11,182.88,Unknown,3.94,40.0,4.38,44.0,6.57,100.0,100.0,6.6,39.0
Trevor Harris,2,2,0,167.64,65.77,182.88,Unknown,1.73,50.0,0.43,75.0,0.0,0.0,50.0,6.5,36.0
Jinnosuke Kashimura,4,2,0,170.18,70.31,180.34,Southpaw,0.21,50.0,7.37,25.0,3.16,100.0,0.0,6.3,24.0
Tom Erikson,9,4,1,190.5,127.01,182.88,Orthodox,0.94,47.0,1.87,25.0,4.68,60.0,100.0,6.2,48.0
Jason Black,23,4,1,172.72,70.31,182.88,Orthodox,1.06,47.0,2.6,45.0,0.48,33.0,28.0,6.2,53.0
Francisco France,13,5,1,182.88,92.99,182.88,Unknown,0.54,33.0,3.51,27.0,0.0,0.0,0.0,6.1,44.0
John Albert,6,5,0,172.72,61.23,172.72,Orthodox,3.05,49.0,2.82,35.0,0.0,0.0,50.0,6.1,39.0
Daniel Swain,20,10,1,175.26,65.77,177.8,Orthodox,0.8,44.0,3.2,40.0,0.0,0.0,0.0,6.0,34.0
Neiman Gracie,6,0,0,182.88,77.11,182.88,Unknown,0.77,100.0,0.38,75.0,5.77,100.0,0.0,5.8,39.0
Shamil Gaziev,11,0,0,193.04,120.2,198.12,Orthodox,1.52,100.0,0.0,0.0,0.0,0.0,0.0,5.7,35.0
Masakatsu Funaki,39,13,2,182.88,83.91,182.88,Southpaw,1.82,68.0,2.92,35.0,0.0,0.0,0.0,5.5,56.0
David Terrell,6,2,0,185.42,83.91,182.88,Southpaw,2.34,63.0,2.71,37.0,5.54,50.0,0.0,5.5,47.0
Rob MacDonald,5,4,0,190.5,92.99,198.12,Orthodox,1.8,50.0,2.04,46.0,7.19,80.0,80.0,5.4,47.0
Nick Barnes,11,2,0,180.34,77.11,182.88,Unknown,2.86,29.0,8.93,51.0,5.36,100.0,100.0,5.4,39.0
Matt Arroyo,3,3,0,177.8,77.11,182.88,Orthodox,1.62,47.0,2.01,58.0,2.12,36.0,100.0,5.3,43.0
Diego Lopes,23,6,0,180.34,65.77,182.88,Orthodox,2.47,53.0,4.91,37.0,0.0,0.0,42.0,5.3,31.0
Colin Robinson,10,12,0,193.04,110.22,182.88,Orthodox,6.19,69.0,7.91,37.0,2.58,100.0,50.0,5.2,57.0
Nick Garcia,8,3,0,162.56,56.7,182.88,Unknown,0.67,25.0,3.03,50.0,0.0,0.0,83.0,5.1,34.0
Justin Levens,10,7,0,180.34,83.91,182.88,Orthodox,1.24,47.0,3.15,37.0,1.69,50.0,33.0,5.1,45.0
Mike Ciesnolevicz,19,4,0,182.88,106.59,182.88,Orthodox,0.51,50.0,4.62,57.0,0.0,0.0,20.0,5.1,46.0
Magno Almeida,10,3,0,182.88,70.31,182.88,Unknown,1.67,36.0,2.6,41.0,0.0,0.0,40.0,5.0,39.0
George Pacurariu,10,5,0,170.18,61.23,182.88,Unknown,4.69,53.0,2.68,63.0,5.03,100.0,100.0,5.0,36.0
Ronaldo Candido,6,0,0,167.64,56.7,182.88,Southpaw,1.67,42.0,3.87,52.0,8.0,53.0,0.0,5.0,36.0
Alex Schoenauer,15,10,0,190.5,83.91,182.88,Orthodox,1.22,40.0,2.27,42.0,0.0,0.0,22.0,4.9,49.0
Justin Guthrie,18,9,0,185.42,77.11,182.88,Unknown,0.16,33.0,3.74,14.0,2.44,25.0,0.0,4.9,39.0
Billy Pasulatan,10,3,0,165.1,56.7,167.64,Switch,0.65,20.0,5.22,48.0,0.0,0.0,0.0,4.9,34.0
Aaron Ely,5,2,0,172.72,61.23,182.88,Unknown,0.82,15.0,0.66,69.0,2.47,100.0,50.0,4.9,36.0
Shohei Nose,10,4,2,167.64,61.23,172.72,Switch,2.48,40.0,3.61,53.0,3.23,17.0,0.0,4.8,28.0
TJ Waldburger,16,9,0,180.34,77.11,190.5,Orthodox,2.02,51.0,2.39,40.0,3.03,46.0,40.0,4.8,37.0
Ronda Rousey,12,2,0,170.18,61.23,167.64,Orthodox,4.17,52.0,4.14,44.0,6.26,68.0,50.0,4.8,38.0
Nik Theotikos,6,2,0,177.8,83.91,182.88,Orthodox,0.0,0.0,5.48,19.0,0.0,0.0,0.0,4.8,42.0
Valentijn Overeem,30,32,0,190.5,104.33,182.88,Orthodox,0.93,34.0,1.49,58.0,1.86,50.0,0.0,4.7,49.0
Keith Rockel,12,4,1,182.88,83.91,182.88,Orthodox,1.13,73.0,0.21,66.0,4.63,75.0,100.0,4.6,42.0
Mark Hughes,6,2,0,175.26,92.99,182.88,Southpaw,0.9,47.0,0.4,42.0,3.0,50.0,0.0,4.5,52.0
Jimmy Flick,16,7,0,170.18,56.7,172.72,Orthodox,1.99,50.0,5.05,38.0,1.66,27.0,0.0,4.4,35.0
Kaline Medeiros,8,5,0,160.02,52.16,182.88,Unknown,2.06,70.0,0.29,83.0,4.41,100.0,0.0,4.4,34.0
Takeru Uchida,6,1,0,165.1,56.7,172.72,Southpaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,23.0
Joe Pearson,45,30,1,177.8,65.77,182.88,Orthodox,0.59,18.0,3.51,33.0,0.0,0.0,0.0,4.4,47.0
Jordan Bailey,6,3,0,175.26,65.77,182.88,Unknown,1.74,40.0,0.29,0.0,4.35,100.0,0.0,4.3,36.0
Branden Lee Hinkle,17,11,0,190.5,106.59,182.88,Orthodox,2.61,69.0,3.91,26.0,4.34,57.0,66.0,4.3,52.0
Goiti Yamauchi,21,3,0,177.8,65.77,182.88,Unknown,1.66,54.0,1.01,66.0,0.0,0.0,0.0,4.3,36.0
Masakatsu Okuda,8,5,0,177.8,77.11,182.88,Unknown,0.0,0.0,4.27,34.0,0.0,0.0,0.0,4.3,39.0
Wayne Cole,16,25,0,185.42,92.99,182.88,Orthodox,0.57,20.0,8.33,27.0,4.31,25.0,0.0,4.3,44.0
Jason Glaza,3,2,0,182.88,104.33,182.88,Unknown,4.34,54.0,0.43,40.0,4.34,100.0,0.0,4.3,45.0
Bret Bergmark,6,1,1,175.26,77.11,182.88,Unknown,2.78,52.0,2.78,37.0,4.17,100.0,50.0,4.2,39.0
Genki Sudo,15,4,2,175.26,70.31,182.88,Orthodox,1.55,39.0,2.23,33.0,3.58,60.0,50.0,4.2,47.0
Yasuhito Namekawa,25,16,4,175.26,92.99,182.88,Orthodox,0.14,50.0,3.65,38.0,2.11,25.0,0.0,4.2,51.0
Sean McCorkle,17,7,0,200.66,120.2,205.74,Orthodox,0.85,44.0,2.48,52.0,2.12,40.0,33.0,4.2,49.0
Jeremy Lang,21,2,0,180.34,92.99,182.88,Southpaw,1.13,50.0,1.41,42.0,4.22,60.0,0.0,4.2,50.0
Rene Kronvold,5,1,0,172.72,77.11,182.88,Orthodox,0.82,100.0,2.47,60.0,0.0,0.0,66.0,4.1,39.0
Victor Hugo,24,4,0,170.18,61.23,180.34,Orthodox,1.24,34.0,1.1,65.0,2.06,50.0,66.0,4.1,33.0
Kain Royer,2,2,0,177.8,83.91,182.88,Unknown,0.0,0.0,1.63,14.0,0.0,0.0,0.0,4.1,42.0
Rousimar Palhares,19,8,0,172.72,77.11,180.34,Orthodox,1.75,51.0,2.04,59.0,3.93,45.0,0.0,4.1,45.0
Clay Mitchell,1,2,0,187.96,83.91,182.88,Unknown,1.63,85.0,0.0,0.0,0.0,0.0,100.0,4.1,42.0
Karine Silva,17,4,0,165.1,56.7,170.18,Orthodox,3.37,35.0,3.37,50.0,2.45,60.0,0.0,4.1,32.0
Dustin Hazelett,12,7,0,185.42,77.11,193.04,Orthodox,2.24,40.0,3.51,46.0,0.55,50.0,25.0,4.1,39.0
HanSeul Kim,13,5,0,185.42,77.11,187.96,Southpaw,6.93,45.0,8.09,50.0,0.0,0.0,0.0,4.0,35.0
Shinya Aoki,39,7,0,180.34,69.85,182.88,Southpaw,0.97,58.0,1.25,58.0,2.54,41.0,60.0,4.0,42.0
Marcus Hicks,10,4,0,167.64,70.31,162.56,Southpaw,1.42,43.0,3.06,61.0,2.7,53.0,25.0,4.0,50.0
Dan Evensen,11,4,0,190.5,113.4,182.88,Orthodox,0.27,10.0,3.86,38.0,0.0,0.0,0.0,4.0,51.0
Ralph Gracie,6,1,0,175.26,83.01,182.88,Orthodox,0.86,37.0,1.72,31.0,0.0,0.0,25.0,4.0,42.0
Charlie Kohler,8,4,1,175.26,70.31,182.88,Orthodox,0.81,33.0,4.31,46.0,0.0,0.0,0.0,4.0,49.0
Alberto Crane,15,5,0,165.1,70.31,182.88,Orthodox,0.43,25.0,2.61,57.0,0.0,0.0,50.0,4.0,49.0
Mike Hayes,20,12,2,193.04,104.33,182.88,Orthodox,4.87,55.0,1.47,77.0,0.0,0.0,75.0,4.0,45.0
Bruno Carvalho,10,5,0,172.72,69.85,182.88,Unknown,0.6,45.0,0.93,53.0,0.0,0.0,66.0,4.0,36.0
Steve Byrnes,6,1,0,182.88,77.11,182.88,Orthodox,1.2,51.0,2.67,27.0,3.0,60.0,0.0,4.0,39.0
Aliaskhab Khizriev,14,0,0,175.26,83.91,187.96,Southpaw,6.03,64.0,4.36,62.0,5.77,60.0,100.0,3.9,35.0
Torrez Finney,7,0,0,172.72,83.91,190.5,Orthodox,0.91,58.0,2.33,47.0,13.61,63.0,0.0,3.9,27.0
Bill Mahood,20,7,1,190.5,90.72,182.88,Orthodox,1.54,85.0,3.59,17.0,0.0,0.0,0.0,3.9,58.0
Marius Enache,3,3,0,180.34,70.31,182.88,Unknown,1.71,34.0,0.66,84.0,3.94,100.0,0.0,3.9,39.0
Abongo Humphrey,7,3,0,180.34,92.99,182.88,Orthodox,1.45,40.0,3.83,46.0,1.41,37.0,33.0,3.8,44.0
Antonio Trocoli,12,3,0,195.58,92.99,208.28,Orthodox,1.27,71.0,4.56,25.0,3.8,100.0,100.0,3.8,35.0
Hector Urbina,17,10,1,180.34,77.11,185.42,Orthodox,0.97,38.0,2.44,39.0,0.0,0.0,38.0,3.8,38.0
Gabriel Bonfim,15,1,0,185.42,77.11,182.88,Orthodox,4.87,40.0,5.25,59.0,4.75,71.0,100.0,3.8,28.0
James Wilks,7,4,0,185.42,77.11,190.5,Orthodox,1.82,45.0,2.03,50.0,1.27,22.0,66.0,3.8,47.0
Assu Almabayev,18,2,0,162.56,56.7,165.1,Orthodox,3.18,65.0,0.49,77.0,3.67,40.0,0.0,3.7,31.0
Nyamjargal Tumendemberel,8,0,0,170.18,56.7,180.34,Orthodox,4.43,44.0,3.62,45.0,4.68,38.0,14.0,3.7,27.0
Jaqueline Amorim,7,1,0,160.02,52.16,172.72,Orthodox,3.42,52.0,1.81,62.0,1.57,23.0,0.0,3.7,30.0
HyunSung Park,8,0,0,170.18,56.7,167.64,Orthodox,3.51,48.0,2.62,59.0,2.23,30.0,100.0,3.7,30.0
Igor Gracie,5,4,0,180.34,77.11,182.88,Unknown,1.86,60.0,0.99,50.0,3.72,50.0,0.0,3.7,39.0
Brady Fink,2,3,0,182.88,83.01,182.88,Orthodox,1.69,41.0,1.69,61.0,3.63,25.0,0.0,3.6,42.0
Tatsuya Mizuno,16,12,1,185.42,92.99,182.88,Southpaw,2.25,37.0,3.52,53.0,1.19,25.0,40.0,3.6,44.0
Per Eklund,14,5,1,177.8,70.31,182.88,Orthodox,2.07,61.0,2.38,67.0,2.07,11.0,50.0,3.6,39.0
Daisuke Nakamura,28,19,1,170.18,69.85,182.88,Orthodox,0.94,30.0,1.38,61.0,0.46,40.0,30.0,3.6,45.0
Brennan Ward,14,5,0,177.8,77.11,180.34,Unknown,7.2,60.0,2.76,52.0,0.0,0.0,100.0,3.6,39.0
Ken Kaneko,0,3,0,182.88,73.03,182.88,Orthodox,0.0,0.0,0.94,42.0,0.0,0.0,0.0,3.5,39.0
Rolando Delgado,11,6,1,190.5,70.31,195.58,Orthodox,1.56,40.0,1.83,62.0,1.17,22.0,0.0,3.5,44.0
Mike King,5,1,0,190.5,83.91,182.88,Unknown,4.44,58.0,1.29,72.0,1.75,25.0,40.0,3.5,42.0
Kit Cope,6,7,0,182.88,77.11,182.88,Orthodox,1.18,52.0,2.12,35.0,0.0,0.0,50.0,3.5,48.0
Chris Sanford,5,1,0,180.34,83.91,182.88,Orthodox,0.23,50.0,3.22,17.0,0.0,0.0,0.0,3.5,57.0
Junie Browning,5,6,0,175.26,70.31,182.88,Orthodox,3.76,48.0,1.76,66.0,3.53,66.0,0.0,3.5,41.0
Preston Parsons,10,4,0,180.34,77.11,180.34,Orthodox,4.14,56.0,3.76,49.0,3.11,33.0,100.0,3.5,30.0
Mike Budnik,13,4,0,175.26,65.77,172.72,Orthodox,0.65,52.0,0.95,53.0,0.0,0.0,0.0,3.4,51.0
Zhang Tiequan,15,4,0,172.72,70.31,175.26,Orthodox,1.23,36.0,2.14,51.0,1.95,58.0,75.0,3.4,47.0
Shannon Gugerty,15,7,0,177.8,70.31,180.34,Orthodox,1.25,39.0,1.88,58.0,2.13,27.0,50.0,3.4,44.0
Allen Berube,4,3,0,172.72,70.31,182.88,Orthodox,0.92,80.0,0.92,33.0,6.87,100.0,0.0,3.4,51.0
Tim Credeur,12,4,0,190.5,83.91,190.5,Orthodox,3.59,30.0,3.13,57.0,0.41,100.0,50.0,3.3,48.0
Daisuke Sugie,10,8,1,167.64,72.57,182.88,Orthodox,0.0,0.0,0.22,80.0,3.27,50.0,0.0,3.3,39.0
Herbert Burns,11,4,0,175.26,65.77,185.42,Orthodox,1.61,51.0,4.74,30.0,3.92,75.0,60.0,3.3,37.0
Edwin DeWees,38,17,0,185.42,83.91,182.88,Orthodox,1.53,33.0,6.19,39.0,2.18,66.0,0.0,3.3,43.0
Ricardo Romero,11,3,0,182.88,92.99,193.04,Orthodox,2.17,55.0,4.77,46.0,1.63,10.0,100.0,3.3,47.0
Rob Broughton,16,7,1,187.96,120.2,187.96,Orthodox,2.83,60.0,2.54,51.0,0.0,0.0,26.0,3.2,42.0
Ryuichi Murata,8,3,1,172.72,83.01,182.88,Orthodox,0.84,36.0,1.89,50.0,4.74,50.0,100.0,3.2,42.0
Roman Zentsov,18,12,0,185.42,104.33,182.88,Orthodox,1.18,36.0,0.53,70.0,1.6,100.0,33.0,3.2,52.0
Dmitry Sosnovskiy,11,0,0,190.5,108.86,195.58,Orthodox,2.95,70.0,2.53,35.0,3.16,66.0,100.0,3.2,36.0
Jesse Taylor,31,15,0,182.88,77.11,185.42,Orthodox,1.94,65.0,0.55,38.0,7.28,50.0,100.0,3.1,42.0
Alexandre Dantas,0,3,0,187.96,107.95,182.88,Orthodox,0.21,25.0,1.87,60.0,0.0,0.0,0.0,3.1,46.0
Kevin Jousset,9,2,0,187.96,77.11,190.5,Orthodox,6.02,50.0,8.1,33.0,3.11,100.0,0.0,3.1,32.0
Manny Bermudez,14,2,0,177.8,65.77,180.34,Orthodox,2.92,61.0,2.68,46.0,3.06,54.0,0.0,3.1,31.0
Eric Lawson,9,5,0,182.88,83.91,182.88,Orthodox,1.58,57.0,1.97,44.0,8.88,42.0,0.0,3.0,42.0
Sidney Outlaw,8,4,0,172.72,77.11,187.96,Orthodox,0.13,33.0,0.8,71.0,3.0,75.0,0.0,3.0,33.0
Maiquel Falcao,37,10,0,180.34,83.91,182.88,Orthodox,1.67,55.0,0.53,86.0,1.0,100.0,71.0,3.0,44.0
Samandar Murodov,8,0,0,185.42,77.11,190.5,Orthodox,3.41,80.0,0.8,0.0,3.01,100.0,0.0,3.0,26.0
Katsuaki Furuki,1,1,0,182.88,76.2,182.88,Unknown,0.27,10.0,2.67,39.0,0.0,0.0,0.0,3.0,39.0
Matt Secor,8,4,0,182.88,77.11,182.88,Unknown,0.51,20.0,0.81,50.0,3.03,100.0,0.0,3.0,39.0
Danny Mitchell,19,9,1,187.96,77.11,182.88,Orthodox,2.53,49.0,2.53,52.0,0.0,0.0,100.0,3.0,39.0
Adam Piccolotti,9,0,0,180.34,70.31,182.88,Unknown,4.61,50.0,2.83,71.0,2.96,60.0,100.0,3.0,39.0
Scott Shaffer,0,1,0,170.18,65.77,182.88,Orthodox,2.4,67.0,0.53,50.0,0.0,0.0,72.0,3.0,36.0
Raymond Daniels,0,1,0,187.96,83.91,182.88,Southpaw,0.0,0.0,2.61,38.0,0.0,0.0,33.0,3.0,42.0
Fabiano Iha,9,5,0,172.72,70.31,182.88,Orthodox,1.73,47.0,2.49,42.0,2.88,40.0,50.0,2.9,55.0
Jan Nortje,2,6,0,185.42,140.61,182.88,Southpaw,3.32,51.0,4.5,32.0,0.0,0.0,66.0,2.9,50.0
Will Ribeiro,10,2,0,172.72,61.23,182.88,Orthodox,1.83,28.0,1.64,74.0,1.15,100.0,50.0,2.9,42.0
Anthony Hernandez,11,2,0,182.88,83.91,190.5,Orthodox,4.33,62.0,3.36,46.0,6.79,57.0,63.0,2.9,32.0
Marcus Jones,4,2,0,198.12,120.2,182.88,Orthodox,1.94,52.0,2.71,58.0,8.71,75.0,0.0,2.9,52.0
Tatsuro Taira,14,0,0,170.18,56.7,177.8,Orthodox,3.23,69.0,1.26,47.0,2.41,41.0,60.0,2.8,25.0
Jason High,21,6,0,172.72,70.31,185.42,Southpaw,1.28,42.0,1.56,48.0,2.36,63.0,37.0,2.8,44.0
Mike Nickels,9,5,0,193.04,92.99,182.88,Orthodox,4.44,52.0,1.11,64.0,11.11,80.0,0.0,2.8,54.0
Shaheen Santana,6,1,0,185.42,70.31,190.5,Orthodox,0.82,42.0,1.65,40.0,0.0,0.0,0.0,2.8,34.0
Sam Patterson,10,2,1,190.5,70.31,198.12,Orthodox,2.56,36.0,3.98,44.0,0.0,0.0,33.0,2.8,29.0
Rei Tsuruya,8,0,0,167.64,56.7,172.72,Orthodox,2.91,63.0,1.64,42.0,7.74,57.0,50.0,2.8,23.0
Yoshiyuki Yoshida,18,9,0,180.34,77.11,177.8,Southpaw,0.85,36.0,3.67,36.0,1.41,28.0,25.0,2.8,51.0
Nadia Kassem,5,2,0,165.1,56.7,167.64,Southpaw,3.13,41.0,4.48,48.0,0.46,33.0,40.0,2.8,30.0
Rinya Nakamura,8,0,0,170.18,61.23,172.72,Southpaw,4.23,54.0,1.78,70.0,4.23,85.0,100.0,2.8,30.0
Ron Waterman,16,6,2,187.96,127.01,182.88,Orthodox,0.84,50.0,1.37,42.0,4.19,69.0,50.0,2.8,60.0
Abel Cullum,20,6,0,170.18,63.05,182.88,Orthodox,1.82,40.0,1.23,46.0,4.01,52.0,0.0,2.8,38.0
Andre Galvao,5,2,0,170.18,76.2,182.88,Orthodox,2.34,52.0,1.56,58.0,2.02,27.0,0.0,2.8,43.0
Dan Lauzon,17,6,0,177.8,70.31,182.88,Orthodox,1.34,25.0,4.09,61.0,1.63,33.0,80.0,2.7,37.0
Darrick Minner,26,14,0,170.18,65.77,175.26,Orthodox,2.63,65.0,2.28,35.0,2.4,72.0,66.0,2.7,35.0
Edson Berto,17,12,1,167.64,70.31,182.88,Orthodox,1.76,36.0,4.62,47.0,5.47,40.0,0.0,2.7,42.0
Khamzat Chimaev,13,0,0,187.96,83.91,190.5,Orthodox,5.72,58.0,3.46,42.0,3.99,46.0,100.0,2.7,31.0
Carlton Jones,1,4,0,185.42,102.06,182.88,Orthodox,2.32,41.0,3.58,56.0,4.02,50.0,57.0,2.7,45.0
Charles Oliveira,34,9,0,177.8,70.31,187.96,Orthodox,3.54,53.0,3.19,51.0,2.32,40.0,55.0,2.7,36.0
Matt Horwich,30,25,1,185.42,83.91,182.88,Orthodox,1.11,62.0,2.16,38.0,0.33,9.0,28.0,2.7,47.0
Charles McCarthy,10,5,0,177.8,83.91,180.34,Orthodox,0.18,12.0,4.03,56.0,2.67,60.0,0.0,2.7,45.0
Jeff Bedard,13,3,0,167.64,65.77,182.88,Orthodox,0.8,51.0,0.0,100.0,3.43,66.0,100.0,2.6,55.0
Roybert Echeverria,7,1,0,165.1,56.7,170.18,Switch,2.95,53.0,2.52,57.0,0.0,0.0,71.0,2.6,30.0
Julian Marquez,9,4,0,187.96,83.91,182.88,Orthodox,4.86,44.0,4.99,51.0,0.0,0.0,53.0,2.6,35.0
Allan Goes,10,5,2,182.88,92.99,182.88,Orthodox,0.64,52.0,1.35,41.0,1.75,40.0,0.0,2.6,54.0
Joseph Morales,9,2,0,167.64,56.7,175.26,Switch,1.58,37.0,1.72,60.0,0.53,50.0,23.0,2.6,31.0
Nick Thompson,38,14,1,185.42,77.11,187.96,Orthodox,1.87,42.0,1.8,49.0,1.06,100.0,35.0,2.6,44.0
Dustin Pague,12,11,0,175.26,61.23,187.96,Orthodox,1.65,53.0,2.96,41.0,1.03,44.0,55.0,2.6,38.0
Coty Wheeler,14,5,0,167.64,61.23,170.18,Orthodox,1.88,22.0,3.16,59.0,0.87,37.0,33.0,2.6,47.0
Lu Kai,8,5,0,175.26,65.77,175.26,Orthodox,3.76,43.0,5.51,55.0,2.62,50.0,100.0,2.6,31.0
Renato Sobral,37,11,0,185.42,92.99,190.5,Orthodox,2.23,45.0,1.53,57.0,2.48,42.0,65.0,2.6,50.0
